copy_data_async_test,1,2.000,1.658,1.658
copy_data_async_test,2,3.759,3.393,3.393
copy_data_processing_test,1,2.497,2.497,2.497
copy_data_processing_test,2,3.556,3.556,3.556
copy_data_threading_test,1,1.677,1.677,1.677
copy_data_threading_test,2,3.435,3.425,3.425
csv_async_test,1,2.313,1.870,1.870
csv_async_test,2,3.275,2.475,2.475
csv_processing_test,1,2.653,2.653,2.653
csv_processing_test,2,2.889,2.889,2.889
csv_threading_test,1,1.861,1.760,1.760
csv_threading_test,2,2.957,2.520,2.520
fetch_urls_async_test,1,6.044,5.604,5.604
fetch_urls_processing_test,1,6.303,6.303,6.303
fetch_urls_threading_test,1,5.966,5.965,5.965
gz_files_async_test,1,20.619,20.154,20.154
gz_files_processing_test,1,21.140,21.140,21.140
gz_files_threading_test,1,20.332,20.332,20.332
loop_mult_async_test,1,3.965,3.594,3.594
loop_mult_processing_test,1,4.295,4.295,4.295
loop_mult_threading_test,1,3.486,3.486,3.486
loop_pow_async_test,1,0.672,0.333,0.333
loop_pow_processing_test,1,1.011,1.011,1.011
loop_pow_threading_test,1,0.341,0.341,0.341
loop_sqrt_async_test,1,2.804,2.458,2.458
loop_sqrt_processing_test,1,3.431,3.431,3.431
loop_sqrt_threading_test,1,2.459,2.459,2.459
query_async_test,1,6.465,6.037,6.037
query_async_test,2,6.435,6.041,6.041
query_processing_test,1,6.822,6.822,6.822
query_processing_test,2,3.962,3.962,3.962
query_threading_test,1,6.042,6.041,6.041
query_threading_test,2,6.039,6.038,6.038
tar_files_async_test,1,10.722,10.253,10.253
tar_files_processing_test,1,11.892,11.892,11.892
tar_files_threading_test,1,10.451,10.451,10.451
